id,class,part_no,details,battery_id,visible_parts
1028,module,17,,1,disconnect unit+wire harness+module+module+housing bottom+module frame+module frame
1029,module,18,,1,disconnect unit+wire harness+module+housing bottom+module frame+module frame
1030,disconnect unit,,,1,housing bottom+disconnect unit+module frame+module frame
1031,BMS cover,,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+BMS module+insulation cap+insulation cap+busbar+busbar+insulation cap+BMS cover+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+disconnect unit cover+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+LV cable+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+LV cable+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module
1032,LV cable,1,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+BMS module+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+disconnect unit cover+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+LV cable+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+LV cable+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module
1033,LV cable,2,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+BMS module+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+disconnect unit cover+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+LV cable+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module
1034,disconnect unit cover,,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+BMS module+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+disconnect unit cover+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+wire harness+module+module+module+module+module+module+module+module
1035,service disconnect,,,1,disconnect unit+service disconnect+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+BMS module+busbar+busbar+busbar
1036,vent tubing,1,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1037,vent tubing,2,,1,insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1038,vent tubing,3,,1,insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1039,vent tubing,4,,1,busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+disconnect unit+module+module+module+wire harness+module+module+module+module+module+module+module+module
1040,vent tubing,5,,1,busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+disconnect unit+module+module+module+wire harness+module+module+module+module+module+module+module+module
1041,wire harness,,,1,wire harness+disconnect unit+housing bottom+module frame+module frame
1042,insulation cap,1,,1,insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1043,insulation cap,2,,1,insulation cap+busbar+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1044,insulation cap,3,,1,busbar+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1045,insulation cap,4,,1,busbar+busbar+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1046,insulation cap,5,,1,busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1047,insulation cap,6,,1,busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1048,insulation cap,7,,1,busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1049,insulation cap,8,,1,busbar+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1050,insulation cap,9,,1,busbar+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1051,insulation cap,10,,1,busbar+busbar+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
